,Unnamed: 0,id,start,end,length,quantity_limit,tonnage_limit,max_train_tonnage,optimized trains (task2),tonnage_for_train,optimized trains
157,157.0,157.0,63.0,43.0,177.696,105.0,1360903.0,25921.961904761905,52.0,25921,105.0
158,158.0,158.0,43.0,84.0,83.447,139.0,206453.0,2970.546762589928,70.0,2949.3285714285716,139.0
159,159.0,159.0,43.0,37.0,210.112,135.0,1323993.0,19614.71111111111,48.0,19614,99.0
160,160.0,160.0,84.0,51.0,90.084,152.0,163706.0,2154.0263157894738,75.0,2154,150.0
161,161.0,161.0,12.0,44.0,74.066,109.0,1003261.0,18408.45871559633,54.0,18408,109.0
162,162.0,162.0,86.0,44.0,87.485,72.0,383883.0,10663.416666666666,22.0,10663,44.0
163,163.0,163.0,68.0,80.0,133.934,444.0,1013855.0,4566.914414414415,209.0,4566,418.0
164,164.0,164.0,1.0,68.0,52.405,119.0,828386.0,13922.453781512606,59.0,13922,119.0
165,165.0,165.0,1.0,61.0,63.565,47.0,149625.0,6367.021276595745,17.0,6367,33.0
166,166.0,166.0,17.0,1.0,18.89,42.0,276277.0,13156.047619047618,19.0,13156,38.0
167,167.0,167.0,57.0,69.0,15.366,55.0,168635.0,6132.181818181818,28.0,6022.678571428572,55.0
168,168.0,168.0,57.0,64.0,84.071,58.0,140627.0,4849.206896551724,24.0,4849,48.0
169,169.0,169.0,64.0,87.0,184.476,44.0,30631.0,1392.3181818181818,22.0,1392,44.0
170,170.0,170.0,64.0,14.0,67.847,38.0,157303.0,8279.105263157895,19.0,8279,38.0
171,173.0,173.0,45.0,27.0,29.063,56.0,3221433.0,115051.17857142857,28.0,115051,56.0
172,174.0,174.0,45.0,11.0,96.13,138.0,802432.0,11629.449275362318,69.0,11629,138.0
173,175.0,175.0,11.0,51.0,204.14,262.0,796354.0,6079.038167938931,123.0,6079,246.0
174,176.0,176.0,19.0,74.0,69.135,26.0,1122136.0,86318.15384615384,13.0,86318,26.0
175,177.0,177.0,19.0,30.0,60.255,42.0,522670.0,24889.04761904762,21.0,24889,42.0
